NAME_O,ORIGX,ORIGY,NAME_D,DSTNX,DSTNY
"25 Pangasinan st. Batasan hills, QC",14.68647,121.0929,Quaipo Church,14.5983,120.98808
"25 Pangasinan st. Batasan hills, QC",14.68647,121.0929,Commonwealth Market,14.682,121.08509
"08 Maya st. Batasan, QC",14.68057,121.09355,Presidential Talipapa,14.6909,121.09539
"25 Congressional, Batasan, QC",14.68776,121.09701,Presidential Talipapa,14.6909,121.09539
"23 Sitio 1 Congressional, Batasan, QC",14.6876,121.09696,"Petron IBP road, San Mateo road.",14.69064,121.09661
"24 Sitio 1 Congressional, Batasan, QC",14.6876,121.09696,"IBP road, San Mateo road",14.69064,121.09661
"7 Maya Batasan, QC",14.67935,121.10507,IBP road,14.69064,121.09661
"27 Constitutional, Batasan, QC",14.68472,121.09774,Presidential Talipapa,14.6909,121.09539
"19 Congressional Road, Batasan hills, QC",14.68776,121.09701,"Agham road, Bertis North",14.6909,121.09539
"7 Maya, Batasan, QC",14.67935,121.10507,Makati City,14.56912,121.026154
"41 Rodman st. Batasan hills, QC",14.69162,121.10755,"BP Road, Brgy Hall",14.68782,121.09241
"108-A Lakatan st. Talanay, BH, QC",14.68918,121.09961,San Juan Market,14.69064,121.09661
"19 Kasayahan St., BH, QC",14.68748,121.09312,Palengke,14.68472,121.09774
4 Kagandahan st. Ext Batasan QC,14.68727,121.0907,"Filinvest 2, Batasan hills",14.68464,121.10523
"109 Pangasinan st. Batasan hills, QC",14.68647,121.0929,"Grocery Ricklyn, Kasayahan",14.68748,121.09312
43 Samar Batasan,14.68647,121.0929,Kasayahan Talipapa,14.68748,121.09312
"31 Samar street, BH, QC",14.68647,121.0929,San Diego Elem School,14.69064,121.09661
"31 Pangasinan st. BH, QC",14.68647,121.0929,Talipapa,14.68057,121.09355
"31 Samar st. BH, QC",14.68647,121.0929,Talipapa Market,14.69064,121.09661
"43 Pangasinan st. BH, QC",14.68647,121.0929,Masbate st.,14.68586,121.09251
"77 Pangasinan st. BH, QC",14.68647,121.0929,St. Peter Church,14.68057,121.09355
"21 Pangsinan st. BH, QC",14.68647,121.0929,Philcoa,14.68843,121.07453
"76 Pangasinan, BH, QC",14.68647,121.0929,Eatwood,14.60889,121.07969
